title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"1999 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/1999,"National Archives and Records Administration",,opengov@nara.gov,NARA-4298,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/1999/CFR-1999.zip,XML,,,"United States",1999.0,01/01/1999,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,113.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=1999&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"1998 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/1998,"National Archives and Records Administration",,opengov@nara.gov,NARA-4299,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/1998/CFR-1998.zip,XML,,,"United States",1998.0,01/01/1998,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,90.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=1998&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"1997 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/1997,"National Archives and Records Administration",,opengov@nara.gov,NARA-4300,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/1997/CFR-1997.zip,XML,,,"United States",1997.0,01/01/1997,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,82.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=1997&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"1996 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/1996,"National Archives and Records Administration",,opengov@nara.gov,NARA-4301,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/1996/CFR-1996.zip,XML,,,"United States",1996.0,01/01/1996,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,27.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=1996&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"2011 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day. The current XML data set is not yet an official format of the Federal Register. Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov. The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR","Federal Register, rules, rule, notice, notices, proposed rules, proposed rule, FR, regulations, regulation, regs, directives, guidelines, rule makings, rulemaking, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML, FR XML",12/31/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-4302,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2011/FR-2011.zip,XML,,,"United States",2011.0,01/01/2011,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,100.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/FR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR,,"Notices, proposed rules, rules and regulations, presidential documents",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"Archival Research Catalog (ARC)","The Archival Research Catalog (ARC) is the online catalog of NARA's nationwide holdings in the Washington, DC area, Regional Archives, and Presidential Libraries.","history, historical research, National Archives, NARA, ARC, research, Archival Research Catalog, family history, genealogy",Present,"National Archives and Records Administration",,opengov@nara.gov,NARA-4794,public,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,Array,Array,,,"Global ","ca. 100 AD - Present ",16-Sep-2002,Weekly,,,,Other,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,Array,Array,,,,,"National Archives and Records Administration",nara-gov,"Tool Catalog",Research,"http://www.archives.gov/research/arc/, http://www.archives.gov/research/search/",,http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/,,"Federal Government ",,"paper, computer",http://www.archives.gov/research/arc/,http://www.archives.gov/research/arc/lifecycle-data-requirements.doc,"National Archives and Records Administration",Yes,Yes,0,N,,,,,,,,,,N,Y,Y,,
"Records Control Schedules Portal","The Records Control Schedules (RCS) repository provides access to scanned versions of records schedules, or Standard Form 115, Request for Records Disposition Authority, that have been developed by Federal agencies and approved by the Archivist of the United States.","record control schedules, record schedules, records management, records, federal records, schedules, departments, President, General Records Schedules, agencies, judicial, legislative",Present,"National Archives and Records Administration",,opengov@nara.gov,NARA-4795,public,,http://www.archives.gov/records-mgmt/rcs/,Website,,,Global,"1973 - Present",01/01/1985,Weekly,,,,Other,,Array,n/a,,,,,"National Archives and Records Administration",nara-gov,"Tool Catalog",Research,http://www.archives.gov/records-mgmt/rcs/,,http://www.archives.gov/records-mgmt/,http://www.archives.gov/records-mgmt/rcs/,,"department or agency",,"paper, computer",http://www.archives.gov/records-mgmt/policy/standard-form-115.html,,"National Archives and Records Administration",Yes,Yes,0,N,,,,,,,,,,N,Y,Y,,
"2011 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-4796,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2011/CFR-2011.zip,XML,,,"United States",2011.0,01/01/2011,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,100.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2011&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"Obama Book 1 Public Papers of the Presidents of the United States in XML","The Public Papers of the Presidents, which is compiled and published by the Office of the Federal Register, National Archives and Records Administration, began in 1957 in response to a recommendation of the National Historical Publications Commission. Noting the lack of uniform compilations of messages and papers of the Presidents before this time, the Commission recommended the establishment of an official series in which Presidential writings, addresses, and remarks of a public nature could be made available.","President, Presidential, Public Papers, Remarks, Statement, Memorandum, Weekly Address, Interview, Message, News Conference, Question-and-Answer Session, Joint Statement, Exchange with Reporters, Message to the Congress, Letter, Commencement Address, Statement on Signing,  Letter to the Speaker of the House of Representatives,  Digest of Other White House Announcements, Nominations Submitted to the Senate, Checklist of White House Press Releases, Presidential Documents Published in the Federal Register, Inaugural Address, President's Address Before a Joint Session of Congress on the State of the Union",03/22/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-4797,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/PPP/2009/PPP-2009.zip,XML,,,"United States",2009.0,03/22/2011,Biennially,,,,"Section 1. Population",http://www.gpo.gov/fdsys/bulkdata/PPP/resources,Array,1.5,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/PPP,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/PPP,,"Presidential Documents",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=PPP,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"2011 Code of Federal Regulations in XML","The Code of Federal Regulations (CFR) is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each print volume of the CFR is updated once each calendar year, and is issued on a quarterly basis. Bulk data downloads of Code of Federal Regulations files in XML format are available from 1996 to the present, by year, title, and volume. The current XML data set is not yet an official format of the Code of Federal Regulations. Only the PDF and Text versions have legal status as parts of the official online format of the Code of Federal Regulations. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Code of Federal Regulations on FDsys.gov. The FDsys data set includes digitally signed Code of Federal Regulations PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collectionCfr.action?collectionCode=CFR","Regulations, regulation, regs, directives, guidelines, rule makings, CFR, Code of Federal Regulations, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-5275,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR/2011/CFR-2011.zip,XML,,,"United States",2011.0,01/01/2011,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/CFR/resources,Array,100.0,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/CFR,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/CFR,,"Titles, chapters, parts, sections",http://www.gpo.gov/fdsys/browse/collectionCfr.action?selectedYearFrom=2011&page.go=Go,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"Obama Book 1 Public Papers of the Presidents of the United States in XML","The Public Papers of the Presidents, which is compiled and published by the Office of the Federal Register, National Archives and Records Administration, began in 1957 in response to a recommendation of the National Historical Publications Commission. Noting the lack of uniform compilations of messages and papers of the Presidents before this time, the Commission recommended the establishment of an official series in which Presidential writings, addresses, and remarks of a public nature could be made available.","President, Presidential, Public Papers, Remarks, Statement, Memorandum, Weekly Address, Interview, Message, News Conference, Question-and-Answer Session, Joint Statement, Exchange with Reporters, Message to the Congress, Letter, Commencement Address, Statement on Signing,  Letter to the Speaker of the House of Representatives,  Digest of Other White House Announcements, Nominations Submitted to the Senate, Checklist of White House Press Releases, Presidential Documents Published in the Federal Register, Inaugural Address, President's Address Before a Joint Session of Congress on the State of the Union",03/22/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-5276,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/PPP/2009/PPP-2009.zip,XML,,,"United States",2009.0,03/22/2011,Bienally,,,,"Section 1. Population",http://www.gpo.gov/fdsys/bulkdata/PPP/resources,Array,1.5,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/PPP,,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/PPP,,"Presidential Documents",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=PPP,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,N,,
"2011 United States Government Manual in XML","As the official handbook of the Federal Government, the United States Government Manual provides comprehensive information on the agencies of the legislative, judicial, and executive branches. It also includes information on quasi-official agencies; international organizations in which the United States participates; and boards, commissions, and committees. The Manual begins with reprints of the Declaration of Independence and the U.S. Constitution. A typical agency description includes a list of officials heading major operating units, a summary statement of the agency's purpose and role in the Federal Government, a brief history of the agency, including its legislative or executive authority, and a description of its programs and activities, and information, addresses, and phone numbers to help users locate detailed information on consumer activities, contracts and grants, employment, publications, and other matters of public interest.","United States Government Manual, organizations, agencies, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",10/5/2011,"National Archives and Records Administration",,opengov@nara.gov,NARA-5385,public,http://www.usgovernmentmanual.gov,http://www.gpo.gov/fdsys/bulkdata/GOVMAN/2011,XML,,,"United States","2011",10/5/2011,Yearly,,,,Other,http://www.gpo.gov/fdsys/bulkdata/GOVMAN/resources,Array,3,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"http://www.gpo.gov/fdsys/bulkdata/GOVMAN",,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/GOVMAN,,"Branches, Agencies",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=GOVMAN,Computer,http://www.usgovernmentmanual.gov,http://www.usgovernmentmanual.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,N,N,Y,"Improves public knowledge of the agency and its operations",
"2012 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day. The current XML data set is not yet an official format of the Federal Register. Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register. The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on FDsys.gov. The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See: http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR","Federal Register, rules, rule, notice, notices, proposed rules, proposed rule, FR, regulations, regulation, regs, directives, guidelines, rule makings, rulemaking, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML, FR XML",12/31/2012,"National Archives and Records Administration",,opengov@nara.gov,NARA-6252,public,http://www.ofr.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2012/FR-2012.zip,XML,,,,,01/03/2012,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,3.7,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,http://www.gpo.gov/fdsys/bulkdata/FR,,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR,,"Notices, proposed rules, rules and regulations, presidential documents",http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR,Computer,http://www.ofr.gov,http://www.ofr.gov,"National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,N,,,,,,,,,,Y,Y,Y,"Furthers the core mission of the agency",
"Executive Orders-Barack Obama","Executive orders are official documents, numbered consecutively, through which the President of the United States manages the operations of the Federal Government. The text of Executive orders appears in the daily Federal Register as each Executive order is signed by the President and received by the Office of the Federal Register. The text of Executive orders beginning with Executive Order 7316 of March 13, 1936, also appears in the sequential editions of Title 3 of the Code of Federal Regulations (CFR).","executive order, law, president, federal register, office of the federal register, ofr, national archives and records administration, nara, government printing office, gpo",04/17/2012,"National Archives and Records Administration",,opengov@nara.gov,NARA-6260,public,,http://api.federalregister.gov/v1/articles.csv?conditions%5Bcorrection%5D=0&amp;conditions%5Bpresident%5D=barack-obama&amp;conditions%5Bpresidential_document_type_id%5D=2&amp;conditions%5Btype%5D=PRESDOCU&amp;fields%5B%5D=executive_order_number&amp;fields%5B%5D=title&amp;fields%5B%5D=publication_date&amp;fields%5B%5D=signing_date&amp;fields%5B%5D=citation&amp;fields%5B%5D=document_number&amp;fields%5B%5D=executive_order_notes&amp;fields%5B%5D=html_url&amp;order=executive_order_number&amp;per_page=1000,CSV,,,USA,01/21/2009-present,01/26/2009,"as issued",,,,Other,https://www.federalregister.gov/learn/developers,Array,0.03,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"https://www.federalregister.gov/executive-orders ",,http://www.ofr.gov,https://www.federalregister.gov/executive-orders,,country,,Computer,https://www.federalregister.gov,,"National Archives and Records Administration",Yes,Yes,1,N,,,,,,,,,,Y,Y,Y,"Furthers the core mission of the agency",
"Executive Orders-William J. Clinton","Executive orders are official documents, numbered consecutively, through which the President of the United States manages the operations of the Federal Government. The text of Executive orders appears in the daily Federal Register as each Executive order is signed by the President and received by the Office of the Federal Register. The text of Executive orders beginning with Executive Order 7316 of March 13, 1936, also appears in the sequential editions of Title 3 of the Code of Federal Regulations (CFR).","executive order, law, president, federal register, office of the federal register, ofr, national archives and records administration, nara, government printing office, gpo",01/25/2001,"National Archives and Records Administration",,opengov@nara.gov,NARA-6261,public,,http://api.federalregister.gov/v1/articles.csv?conditions%5Bcorrection%5D=0&amp;conditions%5Bpresident%5D=william-j-clinton&amp;conditions%5Bpresidential_document_type_id%5D=2&amp;conditions%5Btype%5D=PRESDOCU&amp;fields%5B%5D=executive_order_number&amp;fields%5B%5D=title&amp;fields%5B%5D=publication_date&amp;fields%5B%5D=signing_date&amp;fields%5B%5D=citation&amp;fields%5B%5D=document_number&amp;fields%5B%5D=executive_order_notes&amp;fields%5B%5D=html_url&amp;order=executive_order_number&amp;per_page=1000,CSV,,,USA,01/20-1993-01/18/2001,01/22/1993,"as issued",,,,Other,https://www.federalregister.gov/learn/developers,Array,0.07,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"https://www.federalregister.gov/executive-orders ",,http://www.ofr.gov,,,country,,Computer,https://www.federalregister.gov,,"National Archives and Records Administration",Yes,Yes,1,N,,,,,,,,,,Y,Y,Y,"Furthers the core mission of the agency",
"Executive Orders-George W. Bush","Executive orders are official documents, numbered consecutively, through which the President of the United States manages the operations of the Federal Government. The text of Executive orders appears in the daily Federal Register as each Executive order is signed by the President and received by the Office of the Federal Register. The text of Executive orders beginning with Executive Order 7316 of March 13, 1936, also appears in the sequential editions of Title 3 of the Code of Federal Regulations (CFR).","executive order, law, president, federal register, office of the federal register, ofr, national archives and records administration, nara, government printing office, gpo",01/22/2009,"National Archives and Records Administration",,opengov@nara.gov,NARA-6262,public,,http://api.federalregister.gov/v1/articles.csv?conditions%5Bcorrection%5D=0&amp;conditions%5Bpresident%5D=george-w-bush&amp;conditions%5Bpresidential_document_type_id%5D=2&amp;conditions%5Btype%5D=PRESDOCU&amp;fields%5B%5D=executive_order_number&amp;fields%5B%5D=title&amp;fields%5B%5D=publication_date&amp;fields%5B%5D=signing_date&amp;fields%5B%5D=citation&amp;fields%5B%5D=document_number&amp;fields%5B%5D=executive_order_notes&amp;fields%5B%5D=html_url&amp;order=executive_order_number&amp;per_page=1000,CSV,,,USA,01/29-2001-01/16/2009,01/31/2001,"as issued",,,,Other,https://www.federalregister.gov/learn/developers,Array,0.07,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"https://www.federalregister.gov/executive-orders ",,http://www.ofr.gov,https://www.federalregister.gov/executive-orders,,country,,Computer,https://www.federalregister.gov,,"National Archives and Records Administration",Yes,Yes,1,N,,,,,,,,,,Y,Y,Y,"Furthers the core mission of the agency",
